building,date,time,name,size,room,facilities
Truth,2020-11-07,上午09:30 - 下午01:30,new 亞居拉夫婦團(退修日營),15人,,LCD 投影機
Truth,2020-11-07,上午10:00 - 下午12:00,new 三人同禱(黃如鳳),3人,,
Truth,2020-11-07,上午10:00 - 下午12:00,new 以利亞團(新職員互選會),23人,,高映機
Truth,2020-11-07,上午10:00 - 下午12:30,new 亞居拉團(祈禱會),8-10人,,
Truth,2020-11-07,上午10:30 - 下午12:30,new 李文玉牧師小組,5人,,
Truth,2020-11-07,下午07:30 - 下午09:00,new 所羅門團(分組),25人,,
Truth,2020-11-07,下午08:00 - 下午09:30,new 安提阿團(分組查經),10人,,
Truth,2020-11-07,下午08:00 - 下午09:30,new 歌羅西團(婚禮詩歌練習),30人,,鋼琴
Truth,2020-11-07,下午06:00 - 下午06:30,new CR0,30人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR1,33人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR2,30人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR3,36人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR4,30人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR5,30人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR6,45人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR7-Big,70人,,
Truth,2020-11-07,下午06:00 - 下午06:30,new CR8-Big,70人,,




